"EJ_Cas9_1"	"EJ_Cas9_2"	"EJ_Cas9_3"	"EJ_KO_1"	"EJ_KO_2"	"EJ_KO_3"
"ARHGEF10L"	3.86268382290203	3.73803790270864	2.32385818743335	3.76080906152456	4.05843987091937	4.98396408266016
"KLHDC7A"	2.35070554320442	2.41077284390462	1.66181938348513	1.26306485491884	3.1144640784328	3.27121569599877
"RP13-279N23.2"	4.55096089046205	4.48511344810641	4.60604953054934	4.78633197518286	5.08439798034872	4.47451149704384
"ALDH4A1"	3.53868706426496	3.39611689712094	1.49501800181614	3.26214203381566	3.58675124298152	4.09661863616876
"IFFO2"	4.66410393885526	4.70772741247447	4.90300829246335	4.97259823540081	5.37942175733069	4.24621108203111
"RP5-1126H10.2"	-0.215440013503841	-0.337070281001258	-1.06759212966516	0.179362173100909	-0.377598803281401	0.353784135995951
"UBR4"	7.89338501314588	7.94117388993139	8.24060935041637	8.71446810561593	8.15373374604041	8.13955519477759
"RP1-43E13.2"	2.07112995739581	2.3071954379408	1.1404491697992	2.2464797055421	1.76942084680293	1.75610477212927
"EMC1"	6.07964835130737	6.15394539314956	6.35095110219819	7.10197513881377	6.3736951011116	6.01756135253411
"MRTO4"	6.26827109004626	6.30081678761794	5.93917314883655	6.0814380460187	5.49299223132086	5.09039997522003
"AKR7L"	-0.378716736850901	-0.542893690361687	0.483761566557943	-1.20036223425388	0.515592266884431	-0.465783724694569
"AKR7A3"	-0.831982243155244	-0.993673519116032	-1.62785206219797	-2.02905284757378	0.274561625047637	-0.420522659325258
"AKR7A2"	4.08070162217859	4.02127949456889	2.70976355575582	3.81703823160741	4.54488967575819	4.3897022466145
"PQLC2"	3.24464847408514	3.25611771250891	1.67921627942348	2.71186087885687	2.88134166142121	2.73436916429672
"CAPZB"	6.76408665435043	6.8650726025942	6.87530913854262	7.19509013388562	6.78105919831463	7.14760511289382
"MINOS1"	5.26108640716265	5.38865562529305	4.86550578856772	4.79623914562382	4.93161467884469	5.05578655107276
"MINOS1-NBL1"	5.55847024253374	5.70548476708471	4.94676120184501	4.96676167655494	5.34860190771145	5.68562620412785
